MSOA,IMD19,DeprivationDecile
E02002645,6.75,1
E02002642,33.4,1
E02002727,73,1
E02001482,98.4,1
E02001334,189,1
E02001370,189.75,1
E02002640,230.8,1
E02001364,298.25,1
E02001336,304.6,1
E02001465,326.8,1
E02002497,333.75,1
E02002681,341.4,1
E02001053,353.3333333333333,1
E02002234,405,1
E02001358,418,1
E02001897,422.2,1
E02002654,425.6,1
E02001190,429,1
E02001360,438,1
E02002639,440,1
E02002415,452.75,1
E02002523,454.5,1
E02004588,490.75,1
E02001474,491.2,1
E02005543,508,1
E02001056,520.6,1
E02003064,541,1
E02002421,581.75,1
E02001365,585.6666666666666,1
E02001111,608.25,1
E02002638,620.5,1
E02001477,646.4,1
E02001735,658,1
E02001385,667,1
E02003984,690.6,1
E02002675,707.2,1
E02005185,722.8333333333334,1
E02001590,731,1
E02000999,733.2,1
E02001806,739.6666666666666,1
E02002498,755,1
E02002505,755,1
E02001837,782.5714285714286,1
E02001390,790.4,1
E02001094,791.2,1
E02001493,797.6,1
E02001464,800,1
E02002394,826.75,1
E02002382,847.75,1
E02002255,875.2,1
E02002653,877.8333333333334,1
E02001405,881.6666666666666,1
E02002499,904,1
E02001357,906.4,1
E02001180,909,1
E02002744,932,1
E02002216,933.2,1
E02001376,942.2,1
E02001255,950,1
E02001649,966.1666666666666,1
E02001863,966.25,1
E02001374,974.6,1
E02001368,976.6666666666666,1
E02002668,985,1
E02001356,1011.25,1
E02001866,1021.8,1
E02001623,1024.4,1
E02002379,1033.25,1
E02001947,1044.75,1
E02002659,1069.7142857142858,1
E02002400,1074,1
E02001329,1078.4,1
E02005709,1079.75,1
E02005116,1079.75,1
E02001462,1092,1
E02005217,1093,1
E02003062,1098.75,1
E02001296,1100.2,1
E02005178,1120.6666666666667,1
E02001903,1129,1
E02002401,1149.5,1
E02001910,1153.5,1
E02001658,1157,1
E02001954,1171.2,1
E02003515,1174.1666666666667,1
E02002967,1176.6666666666667,1
E02002583,1187.8,1
E02001874,1219,1
E02002869,1232.2,1
E02001737,1233.75,1
E02001680,1234.5,1
E02002227,1238.5,1
E02002502,1240.3333333333333,1
E02002878,1242,1
E02003161,1253,1
E02002046,1257,1
E02002852,1278.5,1
E02001880,1280.1666666666667,1
E02002728,1282.4,1
E02005132,1283.8,1
E02002506,1284.25,1
E02002364,1286.75,1
E02002672,1298.6,1
E02003536,1304.6,1
E02001487,1325.3333333333333,1
E02001869,1329.3333333333333,1
E02001909,1329.4,1
E02001951,1331.6,1
E02002393,1344.8,1
E02001355,1356,1
E02005115,1385.5,1
E02001061,1385.75,1
E02002430,1395.2,1
E02002407,1396.25,1
E02002414,1416,1
E02001864,1417.5,1
E02001840,1426.2,1
E02001881,1427.4,1
E02002622,1429,1
E02002230,1440,1
E02002861,1446.8,1
E02001369,1447,1
E02001733,1477.857142857143,1
E02002736,1490.75,1
E02004325,1495,1
E02001327,1496.4,1
E02001476,1505.75,1
E02001068,1548,1
E02001417,1557.4,1
E02000996,1566.6,1
E02001332,1585.25,1
E02001867,1587,1
E02002580,1589,1
E02000994,1591.2,1
E02002126,1594,1
E02001594,1606.5,1
E02001067,1638.2,1
E02001141,1658.857142857143,1
E02001064,1664.2,1
E02001157,1676.8,1
E02001877,1680.4,1
E02004378,1700.8,1
E02002224,1717.8,1
E02001419,1726,1
E02002122,1746.6666666666667,1
E02002228,1749,1
E02001996,1751.75,1
E02005229,1788.25,1
E02006889,1798.75,1
E02001964,1801.6666666666667,1
E02002948,1803.8,1
E02002962,1834.2,1
E02001352,1840.75,1
E02002496,1843.2,1
E02006735,1843.5,1
E02002389,1845.25,1
E02001173,1855.25,1
E02001366,1863.8333333333333,1
E02002221,1873.5,1
E02001736,1876.7142857142858,1
E02001593,1878,1
E02001135,1893,1
E02002813,1910.8333333333333,1
E02002655,1926.5,1
E02001422,1929,1
E02001883,1930.2,1
