LSOACode,MY2018AllPopulation
E06000047,526980
E01020634,1665
E01020635,1364
E01020636,1730
E01020654,1830
E01020676,1510
E01020613,1351
E01020614,1368
E01020622,1582
E01020623,1507
E01020627,1480
E01020628,1820
E01020629,1652
E01020655,2038
E01020656,1533
E01020657,1508
E01020661,1994
E01020662,1801
E01020663,1852
E01020674,1610
E01020678,1331
E01020606,1400
E01020615,1720
E01020616,1697
E01020617,2326
E01020626,1535
E01020638,1594
E01020639,1665
E01020653,1547
E01020677,1454
E01020596,1664
E01020597,1423
E01020598,1725
E01020611,1400
E01020612,1583
E01020647,2160
E01020648,2434
E01020649,1622
E01020673,1547
E01020675,1773
E01020624,1545
E01020625,1739
E01020670,1549
E01020671,1245
E01020672,1702
E01020632,1695
E01020640,2296
E01020641,2196
E01020642,1347
E01020643,2184
E01020667,1535
E01020592,1613
E01020593,1201
E01020599,1756
E01020601,1481
E01020602,1793
E01020618,1841
E01020650,2452
E01020651,1686
E01020652,2216
E01020668,1386
E01020669,1510
E01020594,1635
E01020595,1755
E01020600,1497
E01020603,1753
E01020605,1740
E01020630,1400
E01020631,1629
E01020637,1619
E01020644,3514
E01020645,1580
E01020590,1258
E01020591,1407
E01020608,1812
E01020609,1321
E01020610,1462
E01020750,1176
E01020781,1117
E01020786,1561
E01020787,1776
E01033163,2218
E01033202,1169
E01020740,1440
E01020741,1246
E01020742,1756
E01020782,1290
E01020783,1292
E01020784,1617
E01020743,1442
E01020747,1279
E01020748,1259
E01020749,1338
E01020773,1432
E01020775,1711
E01020604,1394
E01020607,1728
E01020619,1575
E01020620,1628
E01020621,2030
E01020633,1692
E01020664,1481
E01020665,1366
E01020666,1399
E01020776,1836
E01033161,1627
E01033198,1506
E01033205,1543
E01033206,1560
E01020709,2879
E01020717,1629
E01020718,1352
E01020719,1296
E01020721,1133
E01020708,1302
E01020710,1688
E01020711,1889
E01020720,1420
E01020646,1649
E01020658,1920
E01020659,1450
E01020660,1675
E01020751,1811
E01020752,1053
E01020754,1371
E01020756,1414
E01020679,1542
E01020680,1647
E01020681,1526
E01020714,1521
E01020716,1681
E01020725,1475
E01020726,1208
E01020727,1172
E01020729,2149
E01020730,1681
E01020731,1451
E01020682,1802
E01020683,1542
E01020690,1261
E01020691,1353
E01020692,1443
E01020693,1700
E01020722,2208
E01020723,2098
E01020724,1742
E01020703,3193
E01033164,1977
E01033195,1319
E01033197,3559
E01033221,4219
E01020705,1571
E01020706,1798
E01020715,2790
E01020745,1279
E01020753,1900
E01020757,1084
E01020758,1409
E01020759,1237
E01020765,1635
E01020684,2915
E01020702,2890
E01020704,2620
E01020712,1949
E01020713,2757
E01020760,1906
E01020761,1552
E01020762,1530
E01020763,1882
E01020733,1133
E01020734,1209
E01020735,1434
E01020770,1185
E01020771,1081
E01020780,1321
E01020764,1180
E01020766,1333
E01020767,1814
E01020768,1522
E01020746,1119
E01020769,1254
E01020777,1381
E01020778,1118
E01020779,1525
E01020685,1666
E01020686,1564
E01020687,1401
E01020688,1480
E01020689,1528
E01020736,1212
E01020737,1372
E01020738,933
E01020739,1241
E01020744,960
E01020788,1496
E01020789,1529
E01020790,1253
E01020791,1392
E01020792,1522
E01020694,1499
E01020696,1302
E01020697,1725
E01020732,2202
E01020889,1352
E01020890,1812
E01020891,1616
E01020905,1530
E01020906,1686
E01020772,2052
E01020793,1678
E01020794,1757
E01020795,1842
E01020695,1974
E01020698,1623
E01020699,1311
E01020700,1511
E01020701,1401
E01020876,1742
E01020878,1759
E01020887,1984
E01020892,1077
E01020894,1255
E01020898,1541
E01020877,1512
E01020879,2144
E01020893,1976
E01020899,1308
E01020903,1108
E01020904,1694
E01020817,1312
E01020818,1425
E01020819,1035
E01020837,1600
E01020843,1582
E01020809,1396
E01020810,1293
E01020811,1304
E01020812,1463
E01020827,1789
E01020806,1374
E01020807,1190
E01020820,1808
E01020842,2648
E01020797,2469
E01020798,1474
E01020799,1343
E01020808,1411
E01020873,1431
E01020875,1356
E01020900,1651
E01020901,1294
E01020902,1468
E01020821,2066
E01020822,1854
E01020823,1750
E01020835,1576
E01020836,2663
E01020803,2455
E01020805,1927
E01033203,2703
E01020796,1279
E01020828,1575
E01020829,2380
E01020830,1517
E01020868,2042
E01020869,1354
E01020874,1562
E01020880,1549
E01020881,1336
E01020870,1328
E01020871,1357
E01020872,1800
E01020883,1661
E01020886,1311
E01020882,1502
E01020888,1928
E01020895,1474
E01020896,1341
E01020897,2857
E01020884,1268
E01020885,1202
E01020907,1678
E01020908,1360
E01020909,1752
E01020801,1471
E01020802,1969
E01020838,1721
E01020839,1635
E01020840,1842
E01020841,1738
E01020813,1217
E01020814,1372
E01020815,1212
E01020848,1109
E01020850,2279
E01020851,1353
E01020816,1413
E01020844,1537
E01020847,1545
E01020849,1302
E01020825,1610
E01020831,1357
E01020833,1265
E01020834,1271
E01020824,1569
E01020826,1537
E01020832,1468
E01020845,1377
E01020846,1225
E01020856,1530
E01020858,1119
E01020859,1189
E01020860,1077
E01020861,1229
E01020862,2375
E01020864,1992
E01020867,2246
E01020857,1509
E01020863,1403
E01020865,1297
E01020866,970
E01020852,1713
E01020853,1734
E01020854,2609
E01020855,1207
E06000005,106566
E01012334,2531
E01012335,1360
E01012366,2097
E01033481,1642
E01033482,1517
E01012323,1405
E01012324,1373
E01032545,1699
E01032546,1681
E01012328,1496
E01012329,1699
E01012330,1046
E01012331,1143
E01012349,1525
E01012350,1447
E01012351,1455
E01012352,1511
E01012325,1389
E01012326,1162
E01012332,1395
E01012333,1463
E01012309,1903
E01012310,2101
E01012311,1552
E01012312,1363
E01012313,1399
E01012314,1383
E01012362,1277
E01012363,1227
E01012364,1434
E01012365,1177
E01012353,1611
E01012354,1526
E01012355,1558
E01033483,1078
E01033484,1205
E01012307,1897
E01012327,1517
E01012342,2399
E01012343,2408
E01012315,1655
E01012316,2673
E01012360,1684
E01012336,1639
E01012337,1755
E01012347,1674
E01012348,2138
E01012361,1801
E01012304,1063
E01012305,1206
E01012306,1528
E01012340,2306
E01012341,1813
E01012317,1353
E01012318,2461
E01012319,2691
E01012356,1680
E01012357,1405
E01012358,1609
E01012359,1675
E01012338,2148
E01012339,1766
E01012344,1357
E01012345,1502
E01012346,1933
E06000001,93242
E01011954,2158
E01011969,1317
E01011970,1143
E01011971,1389
E01033465,1929
E01033467,2275
E01011952,1734
E01011953,2070
E01011991,1745
E01011992,1532
E01011993,1793
E01011994,1490
E01011955,1407
E01011957,1261
E01032540,993
E01032541,2198
E01033466,2321
E01011973,1257
E01011974,1709
E01011975,1397
E01011976,930
E01011965,1534
E01011966,1304
E01011983,1631
E01012002,1380
E01011951,1170
E01011964,1360
E01011967,1633
E01011999,1929
E01012000,1501
E01011950,1320
E01011986,1181
E01011987,1416
E01012001,2337
E01011949,1983
E01011980,1638
E01011981,1726
E01011984,1191
E01011985,1261
E01011988,1939
E01011989,1782
E01011990,1789
E01011995,1297
E01011996,1481
E01011997,1964
E01011998,1899
E01011961,1422
E01011962,1431
E01011977,1708
E01011978,1568
E01011979,1701
E01011959,2423
E01011960,1289
E01011963,1339
E01011968,1962
E01011982,1268
E01012003,1494
E01012005,1943
E06000002,140545
E01012068,2453
E01012092,2399
E01012093,2297
E01012094,2945
E01033468,3053
E01012058,1408
E01012059,1634
E01012060,1634
E01012061,1318
