MSOAcode,Population,Population70AndOver
E06000047,526980,76953
E02004297,8099,1300
E02004290,5808,924
E02004298,10031,1642
E02004299,8588,1225
E02004291,7143,933
E02004300,7795,1223
E02004292,7795,1706
E02004301,9536,1083
E02004302,7780,1045
E02004303,11253,1607
E02004293,9685,1372
E02004304,9250,1351
E02004294,8380,1408
E02004305,9742,1171
E02004295,7260,1190
E02004320,9017,1348
E02004321,8641,1040
E02004322,8461,1178
E02004296,8355,1112
E02004306,5938,1137
E02004323,8072,988
E02004308,8289,1364
E02004309,6299,994
E02004307,6694,980
E02004324,5649,847
E02004310,7917,1123
E02004311,9136,1367
E02004312,7401,1702
E02004313,7748,792
E02004314,14267,659
E02004316,6159,784
E02004325,8544,971
E02004315,13131,1183
E02004326,6870,872
E02004328,7363,985
E02004327,5849,949
E02004329,6397,1012
E02004317,7639,1216
E02004330,5718,1026
E02004331,7192,1091
E02004318,6728,964
E02004348,7996,1613
E02004332,7329,954
E02004319,7820,1091
E02004349,9358,1235
E02004350,9742,1516
E02004333,6954,1200
E02004334,7245,938
E02004335,7020,854
E02004336,6697,1211
E02004351,7200,924
E02004337,9909,1312
E02004338,7085,983
E02004339,6751,1377
E02004352,7843,1115
E02004353,7457,1399
E02004354,9102,1172
E02004355,7260,918
E02004340,10376,1484
E02004341,8542,1213
E02004342,5797,614
E02004343,5503,882
E02004344,7176,1327
E02004345,12757,2292
E02004346,5179,969
E02004347,7263,1496
E06000005,106566,15628
E02002559,9147,1266
E02002560,6158,816
E02002561,5384,860
E02002562,5938,771
E02002563,5409,977
E02002564,9701,1312
E02002565,5115,525
E02002566,6978,612
E02002567,8221,1076
E02002568,6012,1108
E02002569,9007,2322
E02002570,7916,1087
E02002571,6505,784
E02002572,6369,595
E02002573,8706,1517
E06000001,93242,12663
E02002483,10211,1286
E02002484,10364,1257
E02002485,8180,1032
E02002487,5293,459
E02002488,5849,834
E02002489,7593,910
E02002490,6254,640
E02002491,6538,984
E02002492,6771,1008
E02002493,6641,1143
E02002494,7830,896
E02006909,11718,2214
E06000002,140545,16177
E02002496,13147,567
E02002497,5994,537
E02002498,9491,488
E02002499,7487,702
E02002500,5920,533
E02002501,5401,501
E02002502,9310,1039
E02002503,6642,569
E02002504,9811,959
E02002505,6120,495
E02002506,5738,624
E02002507,6071,934
E02002508,5086,975
E02002509,5388,719
E02002510,5827,1165
E02002512,5292,1001
E02002513,8948,1289
E02002514,8678,1215
E02006811,10194,1865
E06000057,320274,55132
E02005706,9534,1635
E02005707,7103,1655
E02005708,10506,2344
E02005702,6484,1429
E02005703,6757,1186
E02005704,12528,2380
E02005705,7519,1627
E02005720,11977,1817
E02005734,6122,1026
E02005735,7852,871
E02005721,5512,838
E02005737,7236,1100
E02005736,8172,1050
E02005738,4959,747
E02005722,7807,1254
E02005723,6211,1304
E02005739,9159,1619
E02005724,6499,1352
E02005727,6327,1186
E02005740,10285,1482
E02005741,8502,1398
E02005709,6952,777
E02005710,9341,1292
E02005711,8200,1194
E02005712,8362,871
E02005713,6396,1040
E02005714,5171,535
E02005716,8625,1113
E02005715,8770,1323
E02005717,7553,1546
E02005718,6437,1462
E02005719,8533,1221
E02005725,6816,1614
E02005726,7757,1622
E02005730,13031,2676
E02005729,5614,939
E02005728,6999,1410
E02005731,11000,1565
E02005732,9279,2100
E02005733,8387,1532
E06000003,136718,22093
E02002515,6965,890
E02002516,5876,816
E02002517,5403,795
E02002518,10581,1604
E02002519,7384,1284
E02002520,12719,2572
E02002521,6095,1333
E02002523,6617,463
E02002524,5525,881
E02002525,8258,1382
E02002526,7810,1033
E02002527,5058,676
E02002529,5909,893
E02002530,6342,1170
E02002532,6603,1062
E02002533,6183,1121
E02002534,5654,1383
E02006812,7550,1303
E02006910,10186,1432
E06000004,197213,25209
E02002535,9384,1316
E02002536,9834,1528
E02002537,8744,980
E02002538,5798,793
E02002539,9209,1502
E02002540,6026,1276
E02002541,6193,889
E02002542,8334,867
E02002543,9071,875
E02002544,8668,883
E02002545,5223,996
E02002546,7594,742
E02002547,6190,1314
E02002548,13741,923
E02002549,7432,1623
E02002550,6224,947
E02002551,7159,543
E02002552,7304,685
E02002553,6050,886
E02002554,5288,828
E02002555,10003,1621
E02002556,7018,736
E02002557,16379,732
E02002558,10347,1724
E08000037,202508,28623
E02001682,8467,1356
E02001683,9008,1442
E02001684,6688,787
E02001685,8245,1073
E02001686,6703,1239
E02001688,7654,682
E02001689,8778,869
E02001690,7249,1023
E02001691,9369,699
E02001692,6545,572
E02001693,5665,868
E02001694,6500,899
E02001695,6166,967
E02001696,9214,1214
E02001697,7432,1099
E02001698,7051,1846
E02001699,6708,1035
E02001700,10301,1528
E02001701,6287,1241
E02001702,7927,1007
E02001703,5497,1146
E02001704,7010,1207
E02001705,6967,1089
E02001706,7843,1006
E02001707,8119,1457
E02006841,9550,564
E02006842,5565,708
E08000021,300196,30959
E02001708,12618,1339
E02001709,10126,1650
E02001710,9698,1234
E02001711,9389,1278
E02001712,9708,1249
